https://en.wikipedia.org/wiki/List_of_countries_by_population_(United_Nations)
Rank,Country or area,"Population
(1 July 2016 [2"
—,World,"7,432,663,275"
1, China,"1,382,323,332"
2, India,"1,326,801,576"
3, United States,"324,118,787"
4, Indonesia,"260,581,100"
5, Brazil,"209,567,920"
6, Pakistan,"192,826,502"
7, Nigeria,"186,987,563"
8, Bangladesh,"162,910,864"
9, Russia,"143,439,832"
10, Mexico,"128,632,004"
11, Japan,"126,323,715"
12, Philippines,"102,250,133"
13, Ethiopia,"101,853,268"
14, Vietnam,"94,444,200"
15, Egypt,"93,383,574"
16, Germany,"80,682,351"
17, Iran,"80,043,146"
18, Democratic Republic of the Congo,"79,722,624"
19, Turkey,"79,622,062"
20, Thailand,"68,146,609"
21, United Kingdom,"65,111,143"
22, France,"64,668,129"
23, Italy,"59,801,004"
24, Tanzania,"55,155,473"
25, South Africa,"54,978,907"
26, Myanmar,"54,363,426"
27, South Korea,"50,503,933"
28, Colombia,"48,654,392"
29, Kenya,"47,251,449"
30, Spain,"46,064,604"
31, Ukraine,"44,624,373"
32, Argentina,"43,847,277"
33, Sudan,"41,175,541"
34, Algeria,"40,375,954"
35, Uganda,"40,322,768"
36, Poland,"38,593,161"
37, Iraq,"37,547,686"
38, Canada,"36,286,378"
39, Morocco,"34,817,065"
40, Afghanistan,"33,369,945"
41, Saudi Arabia,"32,157,974"
42, Peru,"31,774,225"
43, Venezuela,"31,518,855"
44, Malaysia,"30,751,602"
45, Uzbekistan,"30,300,446"
46,   Nepal,"28,850,717"
47, Mozambique,"28,751,362"
48, Ghana,"28,033,375"
49, Yemen,"27,477,600"
50, Angola,"25,830,958"
51, North Korea,"25,281,327"
52, Madagascar,"24,915,822"
53, Australia,"24,309,330"
54, Cameroon,"23,924,407"
55, Taiwan,"23,395,600"
56, Côte d'Ivoire,"23,254,184"
57, Sri Lanka,"20,810,816"
58, Niger,"20,715,285"
59, Romania,"19,372,734"
60, Burkina Faso,"18,633,725"
61, Syrian Arab Republic,"18,563,595"
62, Mali,"18,134,835"
63, Chile,"18,131,850"
64, Kazakhstan,"17,855,384"
65, Malawi,"17,749,826"
66, Netherlands,"16,979,729"
67, Zambia,"16,717,332"
68, Guatemala,"16,672,956"
69, Ecuador,"16,385,450"
70, Zimbabwe,"15,966,810"
71, Cambodia,"15,827,241"
72, Senegal,"15,589,485"
73, Chad,"14,496,739"
74, Guinea,"12,947,122"
75, South Sudan,"12,733,427"
76, Rwanda,"11,882,766"
77, Burundi,"11,552,561"
78, Cuba,"11,392,889"
79, Tunisia,"11,375,220"
80, Belgium,"11,371,928"
81, Benin,"11,166,658"
82, Somalia,"11,079,013"
83, Greece,"10,919,459"
84, Bolivia,"10,888,402"
85, Haiti,"10,848,175"
86, Dominican Republic,"10,648,613"
87, Czech Republic,"10,548,058"
88, Portugal,"10,304,434"
89, Azerbaijan,"9,868,447"
90, Sweden,"9,851,852"
91, Hungary,"9,821,318"
92, Belarus,"9,481,521"
93, United Arab Emirates,"9,266,971"
94, Serbia,"8,812,705"
95, Tajikistan,"8,669,464"
96, Austria,"8,569,633"
97,  Switzerland,"8,379,477"
98, Israel,"8,192,463"
99, Honduras,"8,189,501"
100, Papua New Guinea,"7,776,115"
101, Jordan,"7,747,800"
102, Togo,"7,496,833"
103, Hong Kong,"7,346,248"
104, Bulgaria,"7,097,796"
105, Laos,"6,918,367"
106, Paraguay,"6,725,430"
107, Sierra Leone,"6,592,102"
108, Libya,"6,330,159"
109, Nicaragua,"6,150,035"
110, El Salvador,"6,146,419"
111, Kyrgyzstan,"6,033,769"
112, Lebanon,"5,988,153"
113, Singapore,"5,696,506"
114, Denmark,"5,690,750"
115, Finland,"5,523,904"
116, Turkmenistan,"5,438,670"
117, Slovakia,"5,429,418"
118, Eritrea,"5,351,680"
119, Norway,"5,271,958"
120, Central African Republic,"4,998,493"
